Title,profileName,rating,review
To Love a Scottish Lord: Book Four of the Highland Lords,Harriet Klausner,5,"In 1782 Sea Captain Hamish MacRae returns to Scotland a beaten man after being away for years. He recently lost his ship, his crew, and the use of an arm. He plans to live what he feels is his miserable life as a hermit so he does not have see or sense the pity of others including his brothers. His locale is a desolate castle on an islet.However, his brother Brendan has other ideas after depositing the resigned Hamish on his isolated rock. Brendan travels to Inverness to ask healer widow Mary Gilly to leave her shop to help his sibling. Because of the family connection as one of Hamish's other brothers has been a long time customer of her late husband, Mary agrees. Hamish demands Mary leave him alone in misery, but she refuses. As they begin to fall in love, Mary is accused of killing her spouse. Brendan has a reason to live starting with proving his beloved never killed anyone.TO LOVE A SCOTTISH LORD is a delightful historical romance that the sub-genre audience will read in one appreciative sitting due to an effective cast that makes readers believe they are on an island in the late eighteenth century. The story line is loaded with action, angst, and suspense. However, the lead couple and several support players turn Karen Ranney's latest tale into a fabulous experience.Harriet Klausner"
Follow the Stars Home,Harriet Klausner,5,"Lobsterman Tim McIntosh worked the New England coast. He loved his wife Dianne, but could not deal with the sickly child that was born to them. Instead, Tim abandoned his spouse and little Julia. She sufferers from illnesses that leave her physically and mentally dying from birth. Perhaps because he loves Dianne or just feels bad by his sibling's abandonment, Tim's brother Alan constantly is there for Dianne and Julia. Alan's actions add to the guilty feelings and shame that fill Tim's heart, but his soul cannot take the steps needed to reconcile with his beloved wife nor shower his child with the love she needs.As Dianne supports herself and Julia, she meets a troubled twelve-year old Amy Brook, who becomes a little sister to her. Amy helps Dianne fully understand what love is all about, but will Tim ever learn the same lesson before it is too late?FOLLOW THE STARS HOME focuses on the meaning of love and its capacity to meliorate many human frailties. Dianne, Tim, and Amy seem very real because their characters are fully developed. The audience will dislike what Tim did, but understand his actions and frustrations. Reader's empathy towards Julia will gush throughout the novel. This emotion on the part of the audience shows how talented Luanne Rice is in sensitizing her fans, though for most of the novel the audience &quot;sees&quot; the ailing child through the eyes of the other characters. Using Julia's thoughts as a climax leads to a feeling that this was a contrived closing but Ms. Rice reaches inside our very hearts and souls with an inspiring novel that reflects on how precious but fleeting is life.Harriet Klausner"
Wind in the Stone,Harriet Klausner,5,"The Valley has always been a blessed place touched by magic that leaves a serene, safe locale. That pleasant environment changes when the teaching Magi of the Place of Learning fails to comprehend the threat posed by the seemingly pathetic student, Irasmus. However, through trickery and theft, Irasmus soon becomes more powerful than his instructors and soon moves into the Tower in Styrmer. Irasmus has broken the convent of noninterference shared by all the magical forces to avoid a second deadly war.To enhance his powers, Irasmus insures that a Valley gal births a son for him. Irasmus raises the lad Fogar as his apprentice who will augment the evil sorcerer's strengths. Meanwhile, Irasmus tossed out Fogar's twin sister Falice, who is raised by the native Sasqua and the Wind as the hopeful counterbalance to her male relatives.America had not entered World War II when Andre Norton was already a highly regarded author. Now sixty years have gone by and the great writer shows she still is one of the shining lights in the fantasy genre. WIND IN THE STONE is a well written, entertaining, by the book (that is ""Norton's anthology"") tale that will please genre fans , especially those of this great talent. The characters are fully developed, but it's the non-human sentient beings that seem so genuine that turns this story into another triumphant tale by the lifetime achievement award winning wrier(SF and fantasy) Ms. Norton."
"Into the Storm (Troubleshooters, Book 10)",Harriet Klausner,4,"After a harrowing experience in Afghanistan in which the visit of the Defense Secretary makes air support limited at best, SEAL Team Sixteen arrives home for some R&R.; However, Admiral Tucker figures the best rest for this elite group is a competition against a worthy opponent: private sector counterterrorist experts Troubleshooters, Inc, whose CEO is Tom Paoletti, former commanding officer of Team Sixteen. To add to the fun, the exercise occurs in December in the mountains of New Hampshire. Petty Officer Mark Jenkins and Troubleshooters operative Lindsey Fontaine are the liaisons between the teams.However, almost from the start in the frozen granite state troubles occurs as someone apparently kidnaps Tracy Shapiro, the Troubleshooters' new receptionist. No clue to her whereabouts surface and both squads fear for her life as she is no survivalist. However, as they keep searching, the two teams begin to uncover brutally tortured female corpses buried under the ice. A serial killer personally has modified the state motto to live free and kill.The opening Afghan sequence is some of the most realistic written military scene in recent years as Team Sixteen struggle to survive with little hope of support because politics is visiting Kabul. Once stateside, the story line is at its best with the contest and the growing loving relationship between the liaisons. The serial killer story line is fast-paced with women in the forefront, but also but also is a let down that takes away from the fascination of the competition. Still this is a fun thriller in which readers will say let the games begin.Harriet Klausner"
Journey to the Center of the Earth,A Customer,5,"I read this book a couple of years ago and I liked it. Though it starts off a little slow, it presented a good story."
Glimpses of Paradise: A Novel,Harriet Klausner,5,"In Nebraska, teenager Zee Miller, a minister's daughter, looks forward to leaving town for Hollywood stardom though her parents object to her dreams. Her friend Doyle Lawrence is being pressured by his wealthy father to follow in his footsteps by studying law though the lad has doubts. However, World War I shatters everyone's thoughts of the future with Doyle dropping out of school to fight overseas while Zee heads to the bright lights of Los Angeles.After serving in France, Doyle returns burned out with no desire to please his father by studying law. He drifts around until he arrives in Los Angeles; at the same time Zee remains below the Hollywood food chain. When these former idealistic high school pals meet, Zee is climbing the ladder using the alias of Taylor Layne while Doyle has met his beloved Molly. However, a murder with Taylor on trial and more will devastate their world, but a glimmer of hope radiates between them that faith and love can bring miracles even when sacrifice and tragedy occur.GLIMPSES OF PARADISE is a fabulous historical fiction novel that brings to life the aftereffect of World War I on a former GI and on someone so removed from the fighting mindful of those like this reviewer ""sacrificing"" nothing while soldiers fight in Iraq. The story line is action-packed yet driven by Doyle and Zee. Readers will understand his disillusionment with everything until Molly comes along. Zee also loses her idealism as she is grinded by the Hollywood beat. Yet through all this darkness, a light of hope begins to twinkle as James Scott Bell provides a fine 1920s tale that feels so relevant today.Harriet Klausner"
One Hundred Years of Solitude,CoffeeGurl,5,"This is one of the best pieces of literature ever written. In my opinion, Marquez's work is right up the alley of D. Foster Wallace and Gustave Flaubert. In One Hundred Years of Solitude, Gabriel Garcia Marquez tells the story of the Buendia family -- a family who has struggled the sometimes mundane and unjust world they live in for many generations. The descriptions are lurid and gruesome -- the suicide details, battles with insomnia, etc. -- a story told without reservations. However, One Hundred Years of Solitude is also a poignant and touching novel about the memorable Buendia family. This is a true and profound piece of literature written by a brilliant writer. This gem should be read more than once."
One Hundred Years of Solitude,A Customer,3,"Who is experiencing 100 years of solitude? The people who march off into the jungle and establish the village of Macondo, a town isolated for 100 years until its destruction. These people include 6 generations of the Buendia family. We meet pioneer Jose Arcadio Buendia who leads his people to the spot, and Colonel Aureliano Buendia who leads a left wing revolution in the outer world. We also meet a number of other Buendias named Jose Arcadio and Aureliano.The women are remarkable. Pioneer wife Ursula lives a supernaturally long life, from the superstitious wife of Jose Arcadio who fears that her children will be born with tails, to the Biblically old lady who is treated like a toy by the little children of the house.The book's biggest drawback for me is its sprawling confusion. Michener has done cross-generational books like Hawaii that are direct, serious, sensible. Where Michener's work could be compared to a lifelike painter like Titian, Marquez is more of a Picasso."
An Experiment in Treason,Harriet Klausner,5,"He may be blind but Sir John Fielding is regarded as one of the most intelligent magistrates in 1793 London. He presides as a judge in court and leads investigations on matters that are sensitive to England's interests. Lord Hillsborough, the Secretary of State for the American Colonies, is robbed and one of the footmen is dead. He tells Sir John that he has no idea what the burglars were after but the magistrate doesn't believe him.After he reports to his superior, Sir John is ordered to once again visit Lord Hillsborough who promises to be forthcoming. He says a packet of letters were stolen but he won't say how many or what was in them. Sir John's assistant, Jeremy traces the purloined letters to Ben Franklin and his confederate Arthur Lee. The latter is seen boarding a ship heading to the colonies and Jeremy presumes the letters are on board. Sir John is really not interested in the politics but he is interested in justice and will do all in his power to see the killer go to jail no matter who it is.It is fascinating to read about the English perspective on the troublesome English colonies and how far radicals will go in support of their solution. Bruce Alexander is a fine storyteller and the historical detail he brings to the plot only enhances the quality of AN EXPERIMENT IN TREASON. Readers will continue to read the Sir John Fielding mysteries because they are excellent period pieces.Harriet Klausner"
Dragonsblood (Dragonriders of Pern Series),Harriet Klausner,5,"When the colonists landed on Pern, they didn't know that the red star would align with the planet every two hundred and fifty years. When that event happens, spores from the red star fall onto Pern destroying anything organic in its path. To combat this problem, geneticists changed fire lizards into telepathic dragons that bond with a human; together they unite to fight spores or thread as it is now called in 507 years after the initial landing of the spaceship.In AL 507, Lorana sends her fire lizards away when she thinks she is dying, but she is saved and brought to Bendon Weyr where she bonds with a hatchling dragonet Arith. A plague infects the dragons killing many including Arith just when thread is coming. Arith and Lorana's two fire lizards go back to 42 AL where geneticist Wind Blossom concludes that the three visitors come from Bendan Weyr in the future. She devises a plan to help her descendents battle the deadly dragon killer plague if the future people can interpret the clues she left behind to save them.This is the first solo Pern story not written by the immortal Anne McCaffrey, but her son who obviously inherited the writing gene as readers will not be able to tell who wrote the novel without reading the cover. Two women living centuries apart work to find a cure to save the dragons and ultimately their world. There is plenty of action scenes especially when dragons and their human rider battle thread, but it is the strong characterizations especially the grieving Lorana who can communicate with any dragon while reminded of the loss of her Arith to the plague that make this a worthy entry in the long running series.Harriet Klausner"
Mount Vernon Love Story: A Novel of George and Martha Washington,Harriet Klausner,5,"George Washington's father died when the future president was young. His mother was a harsh disciplinarian insuring George and his siblings behaved. George seemed to flee her whenever he could get away spending time at his half-brother's Mount Vernon home (yes - that historical home). George's first love is Sally Fairfax and his chosen profession surveyor, but war seemed to be his destiny. First he fought (unsuccessfully) during the French and Indian War and then the American Revolution.This biography uses Washington's retirement to Mount Vernon with his beloved Patsy (Martha's nickname) as a focal point for looking back over the lives of the first president and his spouse. The book concentrates on his personal life not his public life. Thus, readers see another side to Washington. Though opinions are interspersed throughout, mystery suspense thriller writer Mary Higgins Clark provides a strong insightful look at Washington and literally the first ""First Lady"" that historical readers will enjoy.Harriet Klausner"
A Man To Call My Own,Harriet Klausner,5,"On the train coming home from a Chicago business trip, Mortimer Laton fell between cars and died. Following the funeral in his hometown of Haverhill, Massachusetts, Mortimer's attorney Albert Bridges reads the will in which the preponderance of the estate went to his twin daughters equally. Worried about fortune hunters, Mortimer had one stipulation. To inherit, the girls must marry, but until they do his sister Kathleen will serve as their guardian and approve any groom. Amanda angrily leaves, but Marian understands that they will move to Texas to live with an unknown aunt.Chad Kinkaid works on Kathleen's ranch though he will inherit the neighboring spread. He is attracted immediately to Marian in spite of her dotty clothing and thick spectacles. She falls in love with Chad, but Marian believes he loves Amanda because no one ever cared about her. While Amanda falls in love with someone who seems indifferent to her and Chad has trouble persuading his beloved that they belong together, a behind the scenes manipulator has other plans for the Laton cash.Though there has been a rash of twins serving as protagonists lately, A MAN TO CALL MY OWN is an invigorating 1870s Texas romance. The plot contains an interesting major twist that will surprise the audience but also serve as a reminder of how far communication has come in under a century and a half. Though there is plenty of action, the story line focuses on the couples, more so on Marian and Chad, who readers will like. Johanna Lindsey provides an absorbing tale that her fans will appreciate.Harriet Klausner"
Amanda Bright@home,Harriet Klausner,4,"In Washington DC, thirty-five years old Amanda wonders if that is all there is in life. Currently, she is a mom raising two small children while her brain atrophies and sex when she can find her spouse Bob is typically ""kid interuptus"". Bob works for the Justice Department where he heading up an antitrust investigation against MegaByte.He is so engulfed in his work, Bob is clueless that Amanda is unhappy, depressed and perhaps nearing collapse. She cringes every time she sees her husband on the news as he has made something of himself while her degree serves as toilet paper. Amanda even dreams of returning to the NEA where she once was gainfully employed. Will Bob see the dual lights in the tunnel of the onrushing train in time to help Amanda before she suffers a breakdown and before he leads the Un-American attack on big business?Though married with children, AMANDA BRIGHT@HOME is a chick lit tale focusing on the woes of the lead female character. Readers will feel for Amanda when her depression seems overwhelming and she cannot breathe, but also wonder over how trivial the cause of the collapse seems. Still readers who believe that a family can save everyone within the unit will savor this tale. Pragmatists, centrists, and the left will prefer Dan Quayle for their family value treatise.Harriet Klausner"
Memoirs of a Geisha (Signed),CoffeeGurl,5,This novel is a true work of art. Memoirs of a Geisha drips with one of the most exquisite languages ever written. Arthur S. Golden's take on the Geisha culture before the Second World War is insightful and thought provoking. I couldn't put this book down. It had me from the opening of the first chapter! Various critics have complained that the author uses cliche descriptions to illustrate the Japanese government -- I couldn't disagree more! I was able to discover many things I hadn't known about the aforementioned government. This is one of the most intelligent novels I've read. And I urge everyone to give this wonderful and literary work a whirl.
Memoirs of a Geisha (Signed),A Customer,5,"As a teacher in Global Management we discuss different cultures, so this novel is really a fantastic scenario to learn about chinese geisha ladies. Also Mother Earth is one of my favorites. Dr. Brunilda Marrero"
Dark Light (Doc Ford Novels),Harriet Klausner,5,"The Category Four hurricane struck hard on Florida's west coast especially devastating many of the Gulf islands. Doc Marian Ford sees first hand the damage to Sanibel Island with his home, marina and lab severely damaged by the intense storm and he received a deep gash from a flying object courtesy of the hurricane.Jeth, Tomlinson and other Sanibel residents find pieces of German artifacts probably from a sunken submarine that caused havoc in the Gulf of Mexico during WWII. Not long afterward Jeth discovers the submarine.Mildred Chestra Engle asks Doc Ford to investigate what happened to a beloved who vanished while meeting a German submarine six decades ago. Chestra wants to prove he was not a traitor only a blackmail victim. Feeling her sorrow, Doc takes on the case, but nothing soon seem real even her story or for that matter her age, which changes every time he sees her. Danger finds Doc because others like salvager Heller have differing plans for Ford's client and the submarine; no one will stand in his way to achieve them.The prime storyline starts a bit later than usual as the key players and their motivations and the force of a category four hurricane are prefaced (though Katrina makes that level storm needing no introduction) to the reader. These subplots quickly merge into a delightful Doc Ford thriller. The marine biologist struggles with the wrongfully defined case, the enigmatic female that has Tomlinson thinking ghost while Doc kisses her when she does not look too old, and the thirst for revenge by Heller. Fans will enjoy DARK LIGHT as nothing is quite like it seems especially in the aftermath of a hurricane named Chestra.Harriet Klausner"
NEEDFUL THINGS,A Customer,5,This is one of my favorite Stephen King novels. Unfortunately the number of typos in this electronic edition take away from the enjoyment of reading it.
"Kiss and Tell (The Men of T-FLAC: The Wrights, Book 2)",Harriet Klausner,5,"With the recent death of her beloved grandmother, illustrator Marnie Wright needs some alone time to reassess her life. Over the objection of her father and four older brothers, Marnie accompanied by her Great Dane Duchess travels to her grandmother's cabin in the Sierra Mountains. However, her idyll time is interrupted when she meets Soldier of Fortune magazine pinup Jake Dolan, who wants nothing to do with his temporary neighbor.However, everything changes when a storm destroys her cabin, but before she can settle in his place, five hit men arrive planning to kill Jake. As he wonders how they are connected to his recent Mideast fiasco that has his job and reputation in jeopardy, Jake hides his guest in his secure underground bunker. Although he mistrusts her after a previous woman betrayed him, Jake and Marnie begin to fall in love even as he goes about dispatching the enemy.KISS AND TELL is an entertaining romantic suspense that never eases up on the full speed ahead throttle. The lead couple is a dynamic pair, especially the incredibly brave Marnie. Her comments as the danger mounts are priceless. Though the underground lair seems stretched, readers will fully enjoy Cherry Adair's delightful tale.Harriet Klausne"
"Kiss and Tell (The Men of T-FLAC: The Wrights, Book 2)",A Customer,5,"I had a great pleasure to find, finally, a book so well written.Gripping too. A delight to read from the first page to the last!"
Full of Grace: A Novel,Harriet Klausner,4,"In South Carolina, New Jersey expatriates Big Al and Connie Russo worry about their daughter Maria Graziella living in sin with scientist Dr. Michael. They want their daughter to marry and no matter how many Hail Mary's and rosary beads used, so far Grace as she prefers to be called now that they no longer live among the Neapolitan-Americans refuses to honor her mother and father by saying I do.Thirty-two years old Grace loves her parents but also enjoys her commitment free relationship with Michael. He reciprocates though he muses she has saved him a fortune on little things like unnecessary dry cleaning and when no one is around, he admits that he loves his Grace. Adding to her parents concern over her lifestyle is that Grace has also stopped going to church; they blame the ""atheist"" she shacks up with. A family crisis forces a generational confrontation between the Catholic old country Italian-American parents and their assimilated Americanized offspring.Though South Carolina is the location for this fine generational relationship war, unlike Dorothea Benton Frank's ""Lowcountry tales, the geography is irrelevant for the most part except to take the family out of Jersey, but not the Jersey out of the family. The story line focuses on commitments as Grace avoids them to her family, her lover, and even the church as if the word means disease. The story line focuses on Grace's relationships with those she loves from the perspective of her lack of enthusiasm towards strengthening any of them. Though the tale lacks action, fans who appreciate an insightful look at the importance of committing one's heart and soul to those they love will want to read Dorothea Benton Frank's pleasant story.Harriet Klausner"
"Mistress of the Pearl (The Pearl, Book 3)",Harriet Klausner,5,"Though they have pretty much conquered the planet Kundala after a century plus of resistance, the victorious aliens V'ornn remain in combat with the locals. The natives believe their Messiah, the ""Dar Sala-at"" will save them. Just the Kundalan belief that their legendary savior will help them overthrow the V'ornn invaders has lifted the spirits of the natives and helped them resist the intruders though how someone can join two spirits from opposite poles of the universe as the fabled champion will do seems hard to fathom especially by the V'ornn.However, the impossible occurs when a Kundala female Riane contains her own soul and that of the dead Annon, ironically a V'ornn; the merger of two essences from opposite sides of the universe. The Kundalans believe that Riane is the Messiah who will vanquish the conquerors, but to do so they must obtain the mystical Pearl that only the true Dar Sala-at can yield its power.Part humor, part military science fiction, and part fantasy, the third Pearl tale is a gem of a novel that uses amusing satirical slapstick moments to ease some of the major tension. The story line is action-packed and filled with adventure as series fans will delight in the rebellion but especially with the paradox of Riane-Annon. New readers will enjoy the tale as it is a stand alone, but even greater understanding especially with the V'ornn will occur by reading the delightful previous two epics (see RING OF THE FIVE DRAGONS and THE VEIL OF A THOUSAND TEARS).Harriet Klausner"
The Pursuit of Alice Thrift,Harriet Klausner,4,"Boston surgical intern Alice Thrift is a genius with an IQ in the stratosphere and a Harvard degree. Ray Russo is street educated dropped out. They meet when Ray pursues rhinoplastic surgery (a nose job).For a reason only he knows, sweet talking Ray courts the caustic Alice, known for her terrorist bedside manner. Shockingly, the brilliant Alice, after shunning Ray's pitch as nonsense, finally capitulates. They have sex leading to her realizing that there is more to life than work. Yet ironically her work improves and she even makes a friend Sylvie Schwartz at the hospital. When her platonic former roommate registered nurse Leo Frawley and Sylvie flirt with one another, Alice feels lonely. Vulnerable, she elopes with Ray only to learn he conned her out of cash and his ""deceased"" first wife lives with him. Leo and Sylvie are there for Alice, who bitterly knows she failed her first life lesson.Though Alice is not a likable character, fans will feel her loneliness and hope she makes it with someone who cherishes her and she treasures in return. Ray is a mean man while Leo and Sylvie are people the audience would like as friends. The bittersweet story line may seem rough to romance readers, but actually salutes friendship when one thinks a friend in need is a pest and prefers not to become involved, but does so anyway.Harriet Klausner"
Catch a Dream,Harriet Klausner,4,"In an isolated part of Yellowstone, Edward deserts his girlfriend-employee Meg Delaney after they argue over a business deal interrupting their camping trip. With no identification, cash, or future, Meg ponders her immediate predicament when rancher Zack Burkhart, searching for a misplaced llama, finds Meg and rescues her.Zach takes Meg to his Idaho ranch where she meets his lonely grieving son still seeking his deceased mother. As Meg never shuts up, the silent Zach feels guilty because he wants her albeit hoping kisses will stop her unabated chatter. As they fall in love, she knows she is big city and he still mourns his wife's death. Will these two individuals realize in time that together they can CATCH A DREAM.Fans of seemingly mismatched couples will fully enjoy CATCH A DREAM that stars an urbanite with a &quot;ruralite&quot; in a second chance at love tale. The story line is fun except when irritating stereotyping of his mother-in-law as a TV Indian happens resulting in a slowing down of the plot. Still, in her debut Mary Jane Meier proves she has talent to make her writing dream happen.Harriet Klausner"
The Dragon Reborn: Book Three of 'The Wheel of Time',Harriet Klausner,4,"The legend says that the power of the individual who is THE DRAGON REBORN will save the world by destroying it. Signs point that the time for the appearance of the One is now so different wannabes and hanger on retinues journey to the Heart of the Stone locale of the sword Callandor that only the Reborn can yield.Rand, sole user of the One Power, believes he is destiny's darling. He leaves behind friends like Perrin and his teacher Moriaine to begin his quest for the sword. Perrin joins forces with Moiraine and others trailing after Rand. However evil abounds in the land as the hideous Black Ajah not only proves to exist in reality, but has a plan too. Allies and enemies will assemble at the Heart of the Stone where Rand will try to grab Callandor to defeat his amoral opponents while claiming the mantra of the DRAGON UNBORN.Though well written and filled with incredible detail that vividly describes a world and gives depth to the key cast members so that the Jordan realm seem real, the theme of THE DRAGON REBORN is typical of many Tolkien fantasy adventure series. Still Robert Jordan is quite a talent and provides profundity to all of the ten Wheel of Time books so that the audience knows this magical domain exists outside the fertile imagination of the author. That is the charm of the series. This particular novel is a trade reprinting of the third tale and can stand alone, but is easier to understand early on if one has read the first two stories.Harriet Klausner"
RED LEAVES,Harriet Klausner,5,"In the burbs, Eric and Meredith Moore seem to live a happy life together raising their son Keith now a teenager. Neighbors Vincent and Karen Giordano are taking visiting family out so they ask Keith to baby-sit their eight year old daughter Amy, which he agrees to do. These are normal events in a quiet suburban setting.However, the next morning Eric learns that Amy is missing. The police suspect Keith of foul play. Eric and Meredith insist their son is a good kid and would never harm Amy yet deep down in his gut he at least agrees with the prevailing community opinion that Keith committed an atrocity especially as the days pass, the posters fade, and his son seems different. Eric ponders DNA as his father left the family nearly bankrupt; his brother is an alcoholic; his sister is dead from a brain tumor; and finally his mother is suicidal. He begins to look deeper at Meredith wondering if her tree augments the worst from his with the culmination being they raised a teen killer.RED LEAVES is more of a family drama than a typical thriller as the audience observes the emotional deterioration of Eric over the course of the story line. While readers will wonder what happened to Amy, Eric's darkening look at his family members make the tale as his shell of middle class trust in what he loves erodes away with every gloomy thought he makes. Thomas H. Cook writes a deep dark tale with a finale that will stun readers as behind every so called perfect family lies hidden skeletons that can consume those concealing the truth from themselves and others.Harriet Klausner"
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Stories,A Customer,5,"This novel is a classic for many reasons. The writting is masterful, the plot is fanciful yet can be applied to everyone, and the characters are so well portrayed that you fear for them as the story progresses. Overall, Robert Louis Stevenson deserves his place among some of the greatest writers among his, or any, era."
Song Of Unmaking,Harriet Klausner,5,"Euan Rohe, a Caletanni barbarian almost brought the Empire and the Emperor to its knees during the Great Dance. Valeria, a rider of the wild stallions who are gods made flesh, finished the Dance with her own and seven other stallions and for a time war was averted. Valeria returns to the mountain for more training while Euan escapes to his homeland and allies himself with Gothard, the baseborn son of the Emperor who wants to Unmake his father's empire.War is coming and the Emperor, his warriors and his mages are at the border waiting for the right time to strike out at their enemy. Gothard has a stone that has the power to Unmake, once he knows how to use it. Valeria and her lover Kerrick, with their stallion gods travel to the battleground to stop Gothard before he starts using the stone's power to crush the Emperor's forces. Partners in love and battle Kerrick and Valeria perform a Dance unlike any dance the stallions performed, one that will determine the fate of the Empire.This is the second book in this magnificent romantic fantasy series (See THE MOUNTAIN'S CALL) and it is full of more action, romance and drama than its prequel. The love Kerrick and Valeria feel for each other is tested by secrets he keeps from his lover and the wounds that refuse to heal, both magical and physical, inflicted on him by his half-brother. The battle scenes are magnificent, the characters are realistic and the storyline is pure magic; readers will eagerly await the next book in this tantalizing series.Harriet Klausner"
Wisdom's Daughter: A Novel of Solomon and Sheba,Harriet Klausner,5,"With the deaths of her daughter and granddaughter, Queen Bilgis of Sheba needs a true female heir to one day replace her on the throne. She prays to the Goddess she worships, who tells her that she will find the sire of her heir in the Land of Israel. Thus Bilgis treks to Jerusalem seeking the designated one.In Jerusalem, King Solomon rules wisely over a land of milk and honey, but worries about who will replace him on the throne. The best candidate is his daughter Baalit, but females cannot rule Israel unlike Sheba. Bilgis and Solomon appreciate the wisdom they see in one another; Bilgis also sees astuteness in Baalit, who she feels should be named successor. As Solomon's wives battle behind curtains encouraged by the sanctimonious Prophet Alijah to influence the king to dump the pagan, Bilgis tries to persuade her lover that his teenage daughter should become the next ruler as she is the best suited of his children.This insightful and believable retelling of the classic Solomon-Sheba match up brings to life the era yet places a mesmerizing spin on Queen Bilgis quest in seeking the King of the Jews. The comparison between the equal rights Sheba with its matriarchal primogeniture vs. the patriarchal Israel is an interesting perspective (perhaps too modernized for that era) while the court intrigue of Solomon's wives provides a glimpse of the personal agendas and thus the times. The most interesting gyration is that Alijah comes across as a holier-than-thou preacher warning the King about his tryst with the pagan and coaxing his wives to stir trouble. As with the QUEENMAKER, India Edghill puts a female twist to heroes of the bible.Harriet Klausner"
Hannibal (Hannibal Lecter),A Customer,1,"In &quot;Silence of the Lambs,&quot; Thomas Harris has Dr. Hannibal Lecter tell Clarice, &quot;The world is a more interesting place with you in it.&quot;Mr. Harris would do well to heed his character's advice. In &quot;Hannibal,&quot; he removes Clarice from his fictional world in the worst way imaginable - not by allowing her a hero's death, but rather by subverting her until she becomes as depraved as her nemesis.Mr. Harris's world is filled with monsters. That is to be expected by anyone who has read his previous novels or seen the movies that were made from them. But in &quot;Hannibal,&quot; unlike the other two novels, there is no heroism, no integrity, no justice. There is simply evil - everywhere, in everyone. And that, more than any monsters Mr. Harris can dream up, makes &quot;Hannibal&quot; a dull and disappointing read."
Petals on the wind,CoffeeGurl,5,"""We lived in the attic.Christopher, Cory, Carrie and me--Now there are only three.""And those three (sans Cory) manage to escape the horrible attic at Foxworth Hall. Once they discover that their mother has been poisoning their doughnuts with arsenic, they knew they'd have to run away if they had any chance to survive. Their plan is to work at a circus until they make enough money to fulfill their dreams. Chris wants to be a doctor and Cathy wants to be a prima ballerina. But things don't work out the way they'd planned. Instead, they meet a lonely doctor who takes them under his care. He pays for Chris's medical education, sends Carrie to a private school (with disastrous results), and falls in love with Cathy, who becomes a famous ballerina for some time. Things appear to look up for the ""Dresden Dolls,"" as they were known as children. However, they may have left the attic, but the horrible memories from that attic haven't left them -- especially for Cathy. Everything that goes wrong in her life has a scapegoat: her mother. A mother that leaves her children to wither away and die in an attic just so she could inherit millions and marry a younger man. Through tragic deaths, bad marriages, inappropriate incestuous feelings, and clandestine affairs, Cathy manages to carry her one-track determination to make her mother pay for everything she has put her through...Petals on the Wind is flooring. It's better than Flowers in the Attic -- more haunting and thought provoking. You feel the psychological trauma and emotional scars the characters feel. You feel awful for Cathy and Chris, even when they fight for the forbidden desires and feelings a brother and sister shouldn't feel towards one another (well, Cathy does most of the fighting, for Chris is determined to live a life of sin with his sister). Incest is one of the main themes in this series. Even though the scenes centered on incest are disturbing and difficult to read at times, it is understandable that the author develops this storyline, for nature versus nurture is another main theme in this series. It appears that the less Cathy wants to be like her mother, the more she finds herself doing the very things her mother would do. Carrie's story, while short and somewhat underdeveloped, is the saddest of them all. You feel her anguish, her inferiority complex, her fear of rejection, and you'd be made of stone if you weren't touched by her sad story. All of the characters are complex and well written, all with shades of gray, none of them perfect. V.C. Andrews was a wonderful writer of gothic suspense. I have If There Be Thorns and Seeds of Yesterday lined up, and will also pick up the prequel called Garden of Shadows. If you haven't read V.C. Andrews, then hurry up and pick up this series. Don't let the controversial theme put you off. This is great writing, folks!"
Thief Of Hearts,CoffeeGurl,5,"Having read Undead and Unwed, I wanted to read more of Mary Janice Davidson's books, especially the erotic novels she wrote for Ellora's Cave. Obtaining a copy of Thief of Hearts wasn't easy, for it is out of print, but I'm sure glad I was able to get a used copy! This fun, sexy novel enthralled me from beginning to end! Sparks fly between Dr. Jared Dean and Kara. Jared thinks Kara is special, but he becomes even more impressed when he discovers that she's tried to protect him from dangerous mobsters. Kara is a modern, female version of Robin Hood -- she steals from mobsters and drug lords to provide for the poor. And now she's taken a particular interest in Jared's safety. And that is how a steamy, original and entertaining love story begins. There are various twists throughout the novel.This novel is full of Davidson's signature sharpness and wit. I've noticed that her novels have an awful lot of banter -- a significant part of her writing style. The erotic scenes are sensual and original. I am hooked with this author. Her crisp dialogue and wonderful storytelling are addicting. I can't wait to read her other novels, especially Undead and Unemployed, the sequel to Undead and Unwed, for I have a particular interest in her paranormal stories. In the meantime, I recommend this wonderful gem. That is if you're able to obtain a copy."
